ID,Name,Pos
14389,Torgau-Oschatz,431
14511,Chemnitz,432
14521,Erzgebirgskreis,433
14522,Mittelsachsen,434
14523,Vogtlandkreis,435
14524,Zwickau,436
14612,Dresden,437
14625,Bautzen,438
14626,G�rlitz,439
14627,Mei�en,440
14628,S�chsische Schweiz-Osterzgebirge,441
14713,Leipzig,442
14729,Leipzig,443
14730,Nordsachsen,444
15001,Dessau-Ro�lau,445
15002,Halle (Saale),446
15003,Magdeburg,447
15081,Altmarkkreis Salzwedel,448
15082,Anhalt-Bitterfeld,449
15083,B�rde,450
15084,Burgenlandkreis,451
15085,Harz,452
15086,Jerichower Land,453
15087,Mansfeld-S�dharz,454
15088,Saalekreis,455
15089,Salzlandkreis,456
15090,Stendal,457
15091,Wittenberg,458
15101,Dessau,459
15151,Anhalt-Zerbst,460
15153,Bernburg,461
15154,Bitterfeld,462
15159,K�then,463
15171,Wittenberg,464
15202,Halle (Saale),465
15256,Burgenlandkreis,466
15260,Mansfelder Land,467
15261,Merseburg-Querfurt,468
15265,Saalkreis,469
15266,Sangerhausen,470
15268,Wei�enfels,471
15303,Magdeburg,472
15352,Aschersleben-Sta�furt,473
15355,B�rdekreis,474
15357,Halberstadt,475
15358,Jerichower Land,476
15362,Ohrekreis,477
15363,Stendal,478
15364,Quedlinburg,479
15367,Sch�nebeck,480
15369,Wernigerode,481
15370,Altmarkkreis Salzwedel,482
16051,Erfurt,483
16052,Gera,484
16053,Jena,485
16054,Suhl,486
16055,Weimar,487
16056,Eisenach,488
16061,Eichsfeld,489
16062,Nordhausen,490
16063,Wartburgkreis,491
16064,Unstrut-Hainich-Kreis,492
16065,Kyffh�userkreis,493
16066,Schmalkalden-Meiningen,494
16067,Gotha,495
16068,S�mmerda,496
16069,Hildburghausen,497
16070,Ilm-Kreis,498
16071,Weimarer Land,499
16072,Sonneberg,500
16073,Saalfeld-Rudolstadt,501
16074,Saale-Holzland-Kreis,502
16075,Saale-Orla-Kreis,503
16076,Greiz,504
16077,Altenburger Land,505
